"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"SMIM1",0.0183521776194429,0.0433865173054755,0.026444339539456,0,0.0176360311170133,0.0163259442109834,0,0,0.319846473692628
"LRRC47",0.182998597666238,0.168727029794959,0.167839691987237,0.213590819173274,0.321782372575469,0.178446949908979,0.536573942785399,0.0494775174160861,0
"CEP104",0.0778993495230902,0.135108730062593,0.0784635004129979,0.165724409778697,0.110464328705884,0.0869933543183708,0.184876606865076,0.0497611464968153,0
"DFFB",0.03721961827094,0.0307854286752007,0.0418114766095874,0.0362258341853625,0.0563327632796665,0.0498071130519163,0,0,0
"C1orf174",0.193306303970751,0.205763093231406,0.253756235562964,0.2275558747284,0.195820976713943,0.241757160197989,0.623895506478526,0.164140514593115,0
"NPHP4",0.00602518527444719,0.0489576148496472,0.0137673629707791,0,0,0.0429574098086952,0,0.069290465631929,0
"KCNAB2",0.30134833656959,0.550129171541476,0.447214581317464,0.295109902136322,0.418617673349396,0.565110465514086,0.750426584443952,0.521463930202544,0
"RPL22",12.8961724163304,6.4847481850831,9.85087477662224,10.0203436872251,7.06147229470305,4.99333358739883,5.10569831286069,9.78908619377493,0.392774474142908
"RNF207",0.0229120958445575,0.0197925112892171,0.0458582612390624,0,0,0.0294646277144288,0,0,0
"ICMT",0.0969248038392878,0.0821870783398253,0.0582279094293642,0.106097184602695,0.22522337921637,0.0671483251722253,0.203440241660791,0.118823573702852,0.306100584652117
"GPR153",0,0,0,0,0.055262047810727,0.0233554275678125,0,0,0
"ACOT7",0.00476508148289336,0.0138047946812887,0.045293825881261,0,0.123867755913764,0,0.124202083257749,0.306135914129379,0
"RP1-202O8.3",0.0116908063406883,0,0,0,0.0352988501763186,0,0.0390297211326425,0,0
"ESPN",0.00731475385853266,0,0.0244343072367948,0,0.0186697434403856,0,0,0,0
"TNFRSF25",0.346143526216663,0.037390381468178,1.00161339710037,0.00472448682624093,0.435487427859882,0.104877246933079,0.3592953495767,0,0
"PLEKHG5",0.0226626216504548,0.0168262301226939,0.0404414374077403,0,0.0147463915579858,0,0,0,0
"NOL9",0.0809515781710365,0.0485424479622806,0.084305531545062,0.112116456447244,0.100684312111555,0.0681370580507708,0.0618912010534568,0.0371360665478313,0
"ZBTB48",0.101673814950871,0.13383122691227,0.0571227938221641,0.0991497088324856,0.111974111024027,0.128463225379435,0.225534159839246,0.219727674445506,0
"KLHL21",0.0773443169826394,0.069653296436046,0.0273297784405425,0.05497131533063,0.118802703310472,0.0763205057135043,0.0710576366596043,0.0474924012158055,0
"PHF13",0.031621884651097,0.0246861844322725,0.0430906337676627,0.0130416184126785,0.039701031335128,0.0270326416352668,0.0717045112677095,0,0
"THAP3",0.109496514888069,0.0782355080602307,0.152432240986325,0.0707946162102466,0.248413777240407,0.0658175029059703,0.335741154026228,0.128675287910957,0
"DNAJC11",0.0416466490041981,0.0448166131361967,0.0874820581742511,0.0332777090923838,0.0964564626284882,0.156242061920262,0.0690375062394509,0,0
"RP11-312B8.1",0,0.0158606715983765,0,0,0,0,0.0379730011961495,0,0
"CAMTA1",0.413416774932382,0.412723628714565,0.427847682207754,0.489558836849925,0.360541984913771,0.450482546736077,0.351808154761026,0.574779614297009,5.85763917219117
"VAMP3",0.163140814363162,0.559990738111363,0.24081506963764,0.18081727283482,0.189550257153432,0.629768579751105,0.373998864552055,0.60448450458949,0
"PER3",0.0603340501846691,0.00428306979604878,0.0478863484701944,0.027516965695247,0.0845931268529527,0.0521600841511676,0.0701324248428435,0,0
